timestamp,price,total_volumes,Lag1,Lag2,Lag3,Lag4,Lag5,Direction
2023-10-21,17604.99662609093,117880036635.06683,17182.85111215785,17249.55146881009,17084.137208111788,17494.148600455414,17152.153774451257,Up
2023-10-22,17883.63651871369,74843826085.95013,17604.99662609093,17182.85111215785,17249.55146881009,17084.137208111788,17494.148600455414,Up
2023-10-23,18273.132125244192,92990177687.1163,17883.63651871369,17604.99662609093,17182.85111215785,17249.55146881009,17084.137208111788,Up
2023-10-24,19377.90936370355,255519077624.5788,18273.132125244192,17883.63651871369,17604.99662609093,17182.85111215785,17249.55146881009,Up
2023-10-25,19851.069088010663,312956976155.6477,19377.90936370355,18273.132125244192,17883.63651871369,17604.99662609093,17182.85111215785,Up
2023-10-26,19907.78644381076,174460607451.22662,19851.069088010663,19377.90936370355,18273.132125244192,17883.63651871369,17604.99662609093,Up
2023-10-27,20128.311193570084,221616324417.5179,19907.78644381076,19851.069088010663,19377.90936370355,18273.132125244192,17883.63651871369,Up
2023-10-28,19991.746024674456,138435408456.96402,20128.311193570084,19907.78644381076,19851.069088010663,19377.90936370355,18273.132125244192,Down
2023-10-29,19944.40045819171,60461846762.74699,19991.746024674456,20128.311193570084,19907.78644381076,19851.069088010663,19377.90936370355,Down
2023-10-30,20056.929426385934,75110317346.00941,19944.40045819171,19991.746024674456,20128.311193570084,19907.78644381076,19851.069088010663,Up
2023-10-31,20173.86797959115,136941383749.72765,20056.929426385934,19944.40045819171,19991.746024674456,20128.311193570084,19907.78644381076,Up
2023-11-01,20305.48222598402,119726417536.8982,20173.86797959115,20056.929426385934,19944.40045819171,19991.746024674456,20128.311193570084,Up
2023-11-02,20617.778116822123,201269773795.3229,20305.48222598402,20173.86797959115,20056.929426385934,19944.40045819171,19991.746024674456,Up
2023-11-03,20017.86129627493,171643051602.82007,20617.778116822123,20305.48222598402,20173.86797959115,20056.929426385934,19944.40045819171,Down
2023-11-04,19961.121958821845,141391965423.16373,20017.86129627493,20617.778116822123,20305.48222598402,20173.86797959115,20056.929426385934,Down
2023-11-05,20192.724529522504,94535820018.87422,19961.121958821845,20017.86129627493,20617.778116822123,20305.48222598402,20173.86797959115,Up
2023-11-06,20656.070802848728,141090785005.03827,20192.724529522504,19961.121958821845,20017.86129627493,20617.778116822123,20305.48222598402,Up
2023-11-07,20730.679912446525,136481636381.5641,20656.070802848728,20192.724529522504,19961.121958821845,20017.86129627493,20617.778116822123,Up
2023-11-08,20616.64567617607,174949143947.98038,20730.679912446525,20656.070802848728,20192.724529522504,19961.121958821845,20017.86129627493,Down
2023-11-09,20605.274009190616,123794226937.71136,20616.64567617607,20730.679912446525,20656.070802848728,20192.724529522504,19961.121958821845,Down
2023-11-10,23259.018044264063,474242099594.9645,20605.274009190616,20616.64567617607,20730.679912446525,20656.070802848728,20192.724529522504,Up
2023-11-11,22656.80027320805,279522552518.2667,23259.018044264063,20605.274009190616,20616.64567617607,20730.679912446525,20656.070802848728,Down
2023-11-12,22374.97209513305,153355084024.68433,22656.80027320805,23259.018044264063,20605.274009190616,20616.64567617607,20730.679912446525,Down
2023-11-13,22293.14177985182,100269376419.28154,22374.97209513305,22656.80027320805,23259.018044264063,20605.274009190616,20616.64567617607,Down
2023-11-14,22335.001656782923,235555175339.722,22293.14177985182,22374.97209513305,22656.80027320805,23259.018044264063,20605.274009190616,Up
2023-11-15,20972.90977548852,225643911191.8436,22335.001656782923,22293.14177985182,22374.97209513305,22656.80027320805,23259.018044264063,Down
2023-11-16,21732.256787073253,237228166955.4712,20972.90977548852,22335.001656782923,22293.14177985182,22374.97209513305,22656.80027320805,Up
2023-11-17,20774.883825328427,250798003997.8016,21732.256787073253,20972.90977548852,22335.001656782923,22293.14177985182,22374.97209513305,Down
2023-11-18,20727.28698032044,223267621306.47968,20774.883825328427,21732.256787073253,20972.90977548852,22335.001656782923,22293.14177985182,Down
2023-11-19,20792.049338454493,140626845468.79855,20727.28698032044,20774.883825328427,21732.256787073253,20972.90977548852,22335.001656782923,Up
2023-11-20,21189.76609283321,118861625641.63806,20792.049338454493,20727.28698032044,20774.883825328427,21732.256787073253,20972.90977548852,Up
2023-11-21,21122.141350206355,175454055269.67484,21189.76609283321,20792.049338454493,20727.28698032044,20774.883825328427,21732.256787073253,Down
2023-11-22,20289.93516485659,217062806170.328,21122.141350206355,21189.76609283321,20792.049338454493,20727.28698032044,20774.883825328427,Down
2023-11-23,21649.677992284443,263748090018.6671,20289.93516485659,21122.141350206355,21189.76609283321,20792.049338454493,20727.28698032044,Up
2023-11-24,21628.53037164531,142782913064.71527,21649.677992284443,20289.93516485659,21122.141350206355,21189.76609283321,20792.049338454493,Down
2023-11-25,21725.34085954607,215760250911.35303,21628.53037164531,21649.677992284443,20289.93516485659,21122.141350206355,21189.76609283321,Up
2023-11-26,21773.1051848507,68182241891.20795,21725.34085954607,21628.53037164531,21649.677992284443,20289.93516485659,21122.141350206355,Up
2023-11-27,21590.216322011485,126311895248.65248,21773.1051848507,21725.34085954607,21628.53037164531,21649.677992284443,20289.93516485659,Down
2023-11-28,21161.58802279776,200429188049.64474,21590.216322011485,21773.1051848507,21725.34085954607,21628.53037164531,21649.677992284443,Down
2023-11-29,21134.28756512816,169448722068.20355,21161.58802279776,21590.216322011485,21773.1051848507,21725.34085954607,21628.53037164531,Down
2023-11-30,20984.117915038714,135676594420.04704,21134.28756512816,21161.58802279776,21590.216322011485,21773.1051848507,21725.34085954607,Down
2023-12-01,21533.10878807435,122013544650.6191,20984.117915038714,21134.28756512816,21161.58802279776,21590.216322011485,21773.1051848507,Up
2023-12-02,21757.70292514236,207728976052.1844,21533.10878807435,20984.117915038714,21134.28756512816,21161.58802279776,21590.216322011485,Up
2023-12-03,22587.92195504057,150847276812.45865,21757.70292514236,21533.10878807435,20984.117915038714,21134.28756512816,21161.58802279776,Up
2023-12-04,22727.776718901383,136598598167.13634,22587.92195504057,21757.70292514236,21533.10878807435,20984.117915038714,21134.28756512816,Up
2023-12-05,23393.24777954756,316490485846.7118,22727.776718901383,22587.92195504057,21757.70292514236,21533.10878807435,20984.117915038714,Up
2023-12-06,24054.64313969116,301240288057.65704,23393.24777954756,22727.776718901383,22587.92195504057,21757.70292514236,21533.10878807435,Up
2023-12-07,23381.627139433484,222331833198.62485,24054.64313969116,23393.24777954756,22727.776718901383,22587.92195504057,21757.70292514236,Down
2023-12-08,24450.26119013653,263647138330.1916,23381.627139433484,24054.64313969116,23393.24777954756,22727.776718901383,22587.92195504057,Up
2023-12-09,24700.722765305287,215286166806.34137,24450.26119013653,23381.627139433484,24054.64313969116,23393.24777954756,22727.776718901383,Up
2023-12-10,24503.771552967974,161056724138.3896,24700.722765305287,24450.26119013653,23381.627139433484,24054.64313969116,23393.24777954756,Down
2023-12-11,24619.901923431607,113233114915.15726,24503.771552967974,24700.722765305287,24450.26119013653,23381.627139433484,24054.64313969116,Up
2023-12-12,23313.885083729667,195128526911.0716,24619.901923431607,24503.771552967974,24700.722765305287,24450.26119013653,23381.627139433484,Down
2023-12-13,22957.058609085067,122858093396.86804,23313.885083729667,24619.901923431607,24503.771552967974,24700.722765305287,24450.26119013653,Down
2023-12-14,23312.07098151961,178510039430.0216,22957.058609085067,23313.885083729667,24619.901923431607,24503.771552967974,24700.722765305287,Up
2023-12-15,23742.58032218838,189693919170.66763,23312.07098151961,22957.058609085067,23313.885083729667,24619.901923431607,24503.771552967974,Up
2023-12-16,22801.567057532146,156003068293.589,23742.58032218838,23312.07098151961,22957.058609085067,23313.885083729667,24619.901923431607,Down
2023-12-17,22883.58083581792,86840505681.04614,22801.567057532146,23742.58032218838,23312.07098151961,22957.058609085067,23313.885083729667,Up
2023-12-18,22643.50230721237,91291212428.44247,22883.58083581792,22801.567057532146,23742.58032218838,23312.07098151961,22957.058609085067,Down
2023-12-19,22662.412740766868,143841323116.81348,22643.50230721237,22883.58083581792,22801.567057532146,23742.58032218838,23312.07098151961,Up
2023-12-20,22117.22175825564,155025066128.85846,22662.412740766868,22643.50230721237,22883.58083581792,22801.567057532146,23742.58032218838,Down
2023-12-21,22369.84573842605,194917538474.85483,22117.22175825564,22662.412740766868,22643.50230721237,22883.58083581792,22801.567057532146,Up
2023-12-22,22567.189595800108,196454813442.0291,22369.84573842605,22117.22175825564,22662.412740766868,22643.50230721237,22883.58083581792,Up
2023-12-23,23304.464541970963,238186405033.158,22567.189595800108,22369.84573842605,22117.22175825564,22662.412740766868,22643.50230721237,Up
2023-12-24,23135.208237842027,97692395115.99194,23304.464541970963,22567.189595800108,22369.84573842605,22117.22175825564,22662.412740766868,Down
2023-12-25,22654.216546434425,126379362345.45088,23135.208237842027,23304.464541970963,22567.189595800108,22369.84573842605,22117.22175825564,Down
2023-12-26,22774.63683066065,113922762936.1006,22654.216546434425,23135.208237842027,23304.464541970963,22567.189595800108,22369.84573842605,Up
2023-12-27,22302.23206936605,156502670028.46146,22774.63683066065,22654.216546434425,23135.208237842027,23304.464541970963,22567.189595800108,Down
2023-12-28,23630.10219105085,250215943746.76025,22302.23206936605,22774.63683066065,22654.216546434425,23135.208237842027,23304.464541970963,Up
2023-12-29,23411.330498972995,219016530055.2616,23630.10219105085,22302.23206936605,22774.63683066065,22654.216546434425,23135.208237842027,Down
2023-12-30,23162.55260433188,182670521151.28973,23411.330498972995,23630.10219105085,22302.23206936605,22774.63683066065,22654.216546434425,Down
2023-12-31,23110.35358991261,139973381354.94006,23162.55260433188,23411.330498972995,23630.10219105085,22302.23206936605,22774.63683066065,Down
2024-01-01,23000.84287379672,67744747230.93453,23110.35358991261,23162.55260433188,23411.330498972995,23630.10219105085,22302.23206936605,Down
2024-01-02,23657.195265438488,92344087936.62396,23000.84287379672,23110.35358991261,23162.55260433188,23411.330498972995,23630.10219105085,Up
2024-01-03,24100.63446335517,210200792642.5197,23657.195265438488,23000.84287379672,23110.35358991261,23162.55260433188,23411.330498972995,Up
2024-01-04,22742.02463482965,354338587833.7113,24100.63446335517,23657.195265438488,23000.84287379672,23110.35358991261,23162.55260433188,Down
2024-01-05,23198.21622098924,187355849991.00464,22742.02463482965,24100.63446335517,23657.195265438488,23000.84287379672,23110.35358991261,Up
