timestamp,price,total_volumes
2023-07-15,19716.614356903177,134068435628.76186
2023-07-16,19761.010484004117,45329705749.46307
2023-07-17,19686.561726024476,46596617923.75506
2023-07-18,19587.820745785637,78722434726.1765
2023-07-19,19369.410704965943,93115280955.55806
2023-07-20,19411.855838668027,91396066648.16684
2023-07-21,19569.16360974176,115946317884.81514
2023-07-22,19648.615320563593,65545869365.368645
2023-07-23,19319.746516101473,60684814700.13017
2023-07-24,19668.69352631967,68053088681.32195
2023-07-25,19261.720732277714,98249515206.28601
2023-07-26,19269.7801124579,44916977252.34201
2023-07-27,19472.41860130232,76030732264.7882
2023-07-28,19538.133164414357,69650084712.43488
2023-07-29,19774.457854767912,50369956623.83675
2023-07-30,19840.110082127405,31543312915.347588
2023-07-31,19606.979646050346,60987474491.03643
2023-08-01,19545.231773729927,64258069658.67879
2023-08-02,19756.93467352619,95002318910.14178
2023-08-03,19677.939757979937,87563588420.7475
2023-08-04,19590.54739541027,63056901358.25179
2023-08-05,19351.15335209075,65930464126.473434
2023-08-06,19421.102446477227,31245603912.292503
2023-08-07,19349.939571453564,31702327548.819637
2023-08-08,19348.029462952283,81125233234.80412
2023-08-09,19912.90801639582,80410256924.65356
2023-08-10,19804.427090517795,64134523137.49565
2023-08-11,19807.595050658423,39955331558.44667
2023-08-12,19970.079695750705,39937272315.53215
2023-08-13,19980.493124633747,23952598367.118114
2023-08-14,19924.931330785632,39453413389.472435
2023-08-15,19912.38912161423,48555467883.20288
2023-08-16,19848.30950883629,47983831074.91067
2023-08-17,19762.69568897401,70688880335.14697
2023-08-18,18325.983535870044,229233330943.91815
2023-08-19,18208.756894915663,130006817057.88116
2023-08-20,18302.55225409692,90204732071.11086
2023-08-21,18459.752425409013,67551792520.788765
2023-08-22,18245.647444941675,73472235624.14015
2023-08-23,17874.276036214804,110495455960.92274
2023-08-24,18322.298774664992,118109092848.71007
2023-08-25,18256.70818174955,75416791315.73648
2023-08-26,18274.77556991037,77705303832.00154
2023-08-27,18191.611894706806,25674645354.368263
2023-08-28,18318.090302614728,28444530130.697487
2023-08-29,18137.886216798124,52436652439.43438
2023-08-30,18821.39372741505,171856412220.1365
2023-08-31,18477.889916415894,81529743682.33235
2023-09-01,18016.440466191583,123522311848.00998
2023-09-02,17998.790879927314,101857146782.60092
2023-09-03,18060.121968299976,36012039716.10478
2023-09-04,18055.881535292894,50150903788.546394
2023-09-05,17934.815810086693,64961592311.989944
2023-09-06,18127.914123622453,69028735364.12935
2023-09-07,18145.722809988933,80526842868.16388
2023-09-08,18346.275674461136,76161916636.0587
2023-09-09,18208.041106218094,78751720111.52853
2023-09-10,18186.806933599266,28802673331.21878
2023-09-11,17965.78778349671,74223263794.67493
2023-09-12,17183.22046336779,136197746970.78079
2023-09-13,17699.06519782866,125287640932.14055
2023-09-14,17893.964741748867,87088716617.45221
2023-09-15,18198.310066490056,93987007965.56236
2023-09-16,18337.94834789732,75884420623.41254
2023-09-17,18254.01848561234,48038454238.25466
2023-09-18,18115.050179880123,50359975325.0518
2023-09-19,18238.333665582883,110785657487.69254
2023-09-20,18340.904715914046,78767160883.73506
2023-09-21,18084.543559469967,97258139979.52197
2023-09-22,17695.925767622528,97085988262.4913
2023-09-23,17746.317753076146,56046852777.14883
2023-09-24,17743.08605729399,30483451251.393463
2023-09-25,17581.990455364565,44710959083.61682
2023-09-26,17578.288979108107,65100306981.61587
2023-09-27,17527.316344952273,52166269569.86711
2023-09-28,17672.39309552165,63360815811.139885
2023-09-29,18052.211745861467,143375048539.21893
2023-09-30,18214.104630809165,121156150350.57184
2023-10-01,18246.974397076963,59628033156.09975
2023-10-02,18940.574977026085,94445400142.39073
2023-10-03,18410.704982892712,159544835645.56516
2023-10-04,18350.272216853195,80325389709.18718
2023-10-05,18245.18418075872,90497412624.86656
2023-10-06,17762.19810170696,96764833712.95413
2023-10-07,18044.39760142695,91464207098.41843
2023-10-08,17920.43451480039,40389619259.36426
2023-10-09,17940.908593626402,56458327249.231415
2023-10-10,17303.510600774993,114956885326.67545
2023-10-11,17047.412338315517,92394211817.08156
2023-10-12,17066.400221236265,87418888896.877
2023-10-13,16882.251347543475,101578506235.29115
2023-10-14,16986.15817371099,80631737025.18578
2023-10-15,17035.325280165984,38133674996.39499
2023-10-16,17152.153774451257,46259682185.35284
2023-10-17,17494.148600455414,162648812443.74506
2023-10-18,17084.137208111788,82187951380.75314
2023-10-19,17249.55146881009,78980798735.18263
2023-10-20,17182.85111215785,89091727734.69914
2023-10-21,17604.99662609093,117880036635.06685
2023-10-22,17883.63651871369,74843826085.95013
2023-10-23,18273.132125244192,92990177687.1163
2023-10-24,19377.90936370355,255519077624.57877
2023-10-25,19851.069088010663,312956976155.6477
2023-10-26,19907.786443810757,174460607451.22662
2023-10-27,20128.311193570084,221616324417.5179
2023-10-28,19991.746024674456,138435408456.96402
2023-10-29,19944.40045819171,60461846762.74699
2023-10-30,20056.929426385934,75110317346.00941
2023-10-31,20173.86797959115,136941383749.72763
2023-11-01,20305.48222598402,119726417536.8982
2023-11-02,20617.778116822123,201269773795.32294
2023-11-03,20017.86129627493,171643051602.82007
2023-11-04,19961.121958821845,141391965423.16373
2023-11-05,20192.724529522504,94535820018.87422
2023-11-06,20656.070802848728,141090785005.03827
2023-11-07,20730.679912446525,136481636381.5641
2023-11-08,20616.64567617607,174949143947.98038
2023-11-09,20605.274009190616,123794226937.71135
2023-11-10,23259.018044264063,474242099594.9645
2023-11-11,22656.800273208046,279522552518.2667
2023-11-12,22374.972095133046,153355084024.68433
2023-11-13,22293.14177985182,100269376419.28154
2023-11-14,22335.001656782923,235555175339.72202
2023-11-15,20972.909775488522,225643911191.84357
2023-11-16,21732.256787073253,237228166955.47116
2023-11-17,20774.883825328427,250798003997.80157
2023-11-18,20727.286980320438,223267621306.47968
2023-11-19,20792.049338454493,140626845468.79855
2023-11-20,21189.76609283321,118861625641.63806
2023-11-21,21122.141350206355,175454055269.67484
2023-11-22,20289.93516485659,217062806170.328
2023-11-23,21649.677992284443,263748090018.6671
2023-11-24,21628.53037164531,142782913064.71527
2023-11-25,21725.34085954607,215760250911.35306
2023-11-26,21773.1051848507,68182241891.20795
2023-11-27,21590.216322011485,126311895248.65248
2023-11-28,21161.58802279776,200429188049.64474
2023-11-29,21134.28756512816,169448722068.20355
2023-11-30,20984.117915038714,135676594420.04704
2023-12-01,21533.10878807435,122013544650.6191
2023-12-02,21757.70292514236,207728976052.18436
2023-12-03,22587.921955040572,150847276812.45865
2023-12-04,22727.776718901383,136598598167.13634
2023-12-05,23393.247779547557,316490485846.7118
2023-12-06,24054.643139691158,301240288057.65704
2023-12-07,23381.627139433484,222331833198.62485
2023-12-08,24450.261190136538,263647138330.19156
2023-12-09,24700.722765305287,215286166806.34137
2023-12-10,24503.771552967974,161056724138.3896
2023-12-11,24619.901923431607,113233114915.15726
2023-12-12,23313.885083729667,195128526911.07156
2023-12-13,22957.058609085067,122858093396.86803
2023-12-14,23312.070981519606,178510039430.0216
2023-12-15,23742.58032218838,189693919170.66763
2023-12-16,22801.567057532146,156003068293.589
