Date,Price,SMA_20,SMA_50,RSI,Volatility_30,MACD,Signal,MACD_Histogram
2018-05-26,5105,6008.6,5361.3,36.82432432432433,508.8582678719229,-88.91917162426762,86.53542222891568,-175.4545938531833
2018-05-27,5089,5916.75,5401.0,34.954058192955586,534.8687334935272,-128.29817077650114,43.56870362783232,-171.86687440433346
2018-05-28,4946,5833.5,5435.58,22.8643216080402,564.5856185643231,-169.0959829809408,1.0357663060777043,-170.1317492870185
2018-05-29,4514,5731.3,5459.2,18.054054054054063,627.126117950844,-233.59459957437957,-45.89030687001375,-187.70429270436583
2018-05-30,5039,5659.35,5493.32,32.82149712092131,649.832948471793,-239.5853151438896,-84.62930852478893,-154.95600661910066
2018-05-31,4894,5593.8,5522.7,31.42419601837672,677.1963364940208,-253.11553030354753,-118.32655288054065,-134.78897742300688
2018-06-01,5038,5555.35,5552.3,37.487984620313995,695.827027158432,-249.34443927133088,-144.53013015869868,-104.8143091126322
2018-06-02,5062,5514.7,5571.36,34.04327248140636,711.1258848740736,-241.63381878430755,-163.95086788382048,-77.68295090048707
2018-06-03,5144,5459.8,5591.36,35.85775436285809,694.8473776023928,-226.29776206331462,-176.42024671971933,-49.87751534359529
2018-06-04,5374,5414.15,5614.94,37.26247987117553,669.5751303419327,-193.3558627854618,-179.80736993286786,-13.548492852593938
2018-06-05,5137,5365.35,5628.6,36.68357641090679,627.0963820767864,-184.24917972975982,-180.69573189224627,-3.553447837513545
2018-06-06,5251,5322.55,5648.28,44.48722436121806,585.551772400119,-165.92059124190382,-177.7407037621778,11.820112520273966
2018-06-07,5221,5292.65,5668.94,52.8262676641729,559.1986096705465,-152.06291546091325,-172.60514610192487,20.542230641011628
2018-06-08,5180,5251.35,5685.6,48.75816993464052,531.8628550215974,-142.74350662439974,-166.63281820641984,23.8893115820201
2018-06-09,5142,5208.3,5693.22,50.84052703316674,505.2034983178996,-136.84660788782276,-160.67557614270044,23.82896825487768
2018-06-10,5061,5153.1,5694.74,49.38217122683142,492.199128005318,-137.12856348864807,-155.96617361188996,18.837610123241888
2018-06-11,4551,5081.8,5684.36,42.49905051272313,513.6930072982561,-176.47051088543594,-160.06704106659916,-16.403469818836783
2018-06-12,4586,5032.8,5671.7,51.61001788908766,526.9916671460553,-202.490891200463,-168.55181109337195,-33.93908010709106
2018-06-13,4277,4992.4,5648.86,31.138613861386133,536.2261103110416,-245.21921319998182,-183.88529151469393,-61.33392168528789
2018-06-14,4087,4934.9,5610.64,30.460048426150124,546.8077095875352,-291.0579929637079,-205.31983180449674,-85.73816115921113
2018-06-15,4519,4905.6,5595.98,38.9715257118572,534.9483335241151,-289.19312818641356,-222.09449108088012,-67.09863710553344
2018-06-16,4265,4864.4,5567.54,34.572202864885796,529.7022151941663,-304.69851187159384,-238.61529523902288,-66.08321663257095
2018-06-17,4332,4833.7,5543.02,34.190031152647975,530.77079171082,-308.02952744406775,-252.4981416800319,-55.53138576403586
2018-06-18,4326,4824.3,5513.08,27.64505119453925,516.1364216436614,-307.60762195305324,-263.52003773463616,-44.08758421841708
2018-06-19,4516,4798.15,5485.44,36.48236830648673,487.68272614406493,-288.6148740959561,-268.5390050069002,-20.075869089055914
2018-06-20,4730,4789.95,5464.1,39.13224864413851,432.25658753946226,-253.37423262277753,-265.50605053007564,12.131817907298114
2018-06-21,4706,4773.35,5440.52,39.23044751150146,383.4351988591215,-224.79111770649524,-257.3630639653596,32.57194625886433
2018-06-22,4629,4751.7,5412.42,38.64853728883395,362.0134007172199,-205.97766735662663,-247.085984643613,41.10831728698636
2018-06-23,4108,4699.9,5356.88,32.233676975945016,382.11357762698276,-230.45171432061397,-243.7591305790132,13.307416258399229
2018-06-24,4188,4640.6,5303.72,34.99484358886215,388.8898153792954,-240.618540696154,-243.1310126024414,2.5124719062873737
2018-06-25,4038,4585.65,5242.44,39.937230286386814,405.3763116204294,-257.8077232901387,-246.06635473998085,-11.741368550157858
2018-06-26,4060,4526.1,5185.12,39.62933753943218,417.4521639606112,-266.5820660826894,-250.16949700852257,-16.41256907416681
2018-06-27,3823,4456.2,5129.36,40.78733766233766,443.90057393545277,-289.32456181950056,-258.0005099707182,-31.324051848782346
2018-06-28,3928,4393.6,5076.76,46.658259773013874,463.0248075576377,-295.46954210538297,-265.4943163976512,-29.975225707731795
2018-06-29,3802,4326.6,5023.24,32.70622286541244,481.0331613296995,-306.9680931315834,-273.7890717444376,-33.17902138714578
2018-06-30,3869,4267.0,4976.52,39.501590668080595,495.55228681291663,-307.13398817340294,-280.4580550302307,-26.675933143172244
2018-07-01,4021,4240.5,4940.8,42.11060375443937,496.8632886279692,-291.63850436658504,-282.6941448975016,-8.944359469083452
2018-07-02,4010,4211.7,4903.5,42.00404858299595,495.22272824932645,-277.05214520891786,-281.56574495978487,4.513599750867002
2018-07-03,4233,4209.5,4863.32,42.95669487307118,481.8707319383945,-244.67762284654145,-274.18812053713623,29.510497690594775
2018-07-04,4061,4208.2,4818.8,32.99440772750381,455.42714698060087,-230.24541731651334,-265.39957989301166,35.15416257649832
2018-07-05,4067,4185.6,4777.88,33.6069779374038,439.09881719763365,-215.83562190334078,-255.4867882950775,39.65116639173672
2018-07-06,4092,4176.95,4737.58,35.84607274644175,410.4413604217056,-200.09192895110164,-244.40781642628232,44.31588747518069
2018-07-07,4079,4164.3,4702.78,48.95608351331893,378.3470158040219,-186.5139139150042,-232.82903592402673,46.31512200902253
2018-07-08,4201,4158.05,4666.68,50.45422781271837,341.06156285217037,-164.0181595258682,-219.06686064439504,55.04870111852682
2018-07-09,4219,4143.2,4631.0,56.96689761354888,299.4203288578211,-143.0882304799543,-203.8711346115069,60.78290413155261
2018-07-10,4095,4111.45,4589.6,51.249107780157026,257.81922741134105,-134.9512407091679,-190.0871558310391,55.13591512187119
2018-07-11,3779,4065.1,4545.64,48.51351351351351,261.5167166806751,-152.24617760431556,-182.5189601856944,30.272782581378834
2018-07-12,3906,4028.95,4512.44,49.26764314247669,255.2427827792818,-153.9302885323741,-176.80122585503034,22.870937322656232
2018-07-13,3797,4013.4,4486.68,49.83164983164983,262.9428590519788,-162.19071403404496,-173.87912349083328,11.688409456788321
2018-07-14,3832,3995.6,4458.58,48.72677219545767,269.0839483587971,-164.0222073583277,-171.90774026433218,7.885532906004471
2018-07-15,3835,3985.45,4433.18,42.8680981595092,264.8995493849691,-163.3486228419306,-170.19591677985187,6.847293937921279
2018-07-16,3972,3981.05,4410.84,48.67132867132867,264.7030520170068,-150.03058798900474,-166.16285102168246,16.132263032677713
2018-07-17,4219,4000.85,4396.3,49.51856946354883,262.20473048678383,-118.18277620407389,-156.56683605816073,38.38405985408684
2018-07-18,4397,4024.3,4393.96,61.50684931506849,264.58072665924107,-77.68454445002135,-140.79037773653286,63.10583328651151
2018-07-19,4219,4045.15,4377.56,54.65686274509804,254.1007244399576,-59.26929684271545,-124.48616155776938,65.21686471505393
2018-07-20,4137,4058.55,4362.42,51.332149200710475,224.5175056533882,-50.707273254738084,-109.73038389716314,59.02311064242505
2018-07-21,3959,4055.45,4340.84,46.763754045307444,191.37573622009816,-57.6207046515683,-99.30844804804418,41.68774339647588
2018-07-22,4055,4057.7,4320.7,46.00656455142232,157.43493091196675,-54.72244486673071,-90.39124741178149,35.66880254505078
2018-07-23,4031,4047.6,4298.44,44.87459105779717,156.8026213714454,-53.742640820299584,-83.06152609348511,29.31888527318553
2018-07-24,3968,4042.95,4270.32,46.418499717992106,154.3220397545804,-57.388177355770495,-77.9268563459422,20.538678990171704
2018-07-25,4210,4050.1,4251.78,62.68393172454385,158.03107507590562,-40.28552732110256,-70.39859054097428,30.11306321987172
2018-07-26,4101,4050.55,4228.78,55.800118976799524,158.4832599303544,-35.12207755238978,-63.34328794325739,28.221210390867604
2018-07-27,4061,4049.65,4205.58,58.18858560794044,153.61679820139003,-33.86727129425344,-57.4480846134566,23.58081331920316
2018-07-28,4136,4046.4,4184.7,59.20096852300242,153.15074461034826,-26.515303185522953,-51.261528327869875,24.746225142346923
2018-07-29,4118,4041.35,4164.22,58.48830233953209,146.55550515741663,-21.888942950073215,-45.38701125231055,23.498068302237336
2018-07-30,4121,4042.65,4145.42,54.859752120026094,142.6392805920154,-17.775538857341417,-39.86471677331673,22.089177915975313
2018-07-31,4011,4054.25,4134.62,42.55014326647565,142.7557555656445,-23.125144894575897,-36.51680239756857,13.391657502992672
2018-08-01,3799,4048.9,4118.88,29.09090909090908,150.49756556626045,-43.96457817281271,-38.006357552617395,-5.958220620195313
2018-08-02,3674,4042.75,4106.82,30.210602759622375,162.11245210170685,-69.76225862530237,-44.35753776715439,-25.404720858147975
2018-08-03,3653,4033.8,4098.14,31.61094224924011,176.613679974158,-90.8543187105829,-53.6568939558401,-37.197424754742805
2018-08-04,3720,4028.05,4082.16,40.08298755186722,184.9198148685687,-100.99933081488462,-63.125381327649,-37.87394948723561
2018-08-05,3627,4010.8,4069.4,32.1963394342762,197.16947899780783,-115.21551601552073,-73.54340826522335,-41.672107750297386
2018-08-06,3652,3982.45,4055.8,34.2477140482128,206.29903527165126,-123.04625352581343,-83.44397731734136,-39.60227620847206
2018-08-07,3618,3943.5,4041.64,35.09369676320273,212.46784476118302,-130.49146093671789,-92.85347404121667,-37.637986895501214
2018-08-08,3366,3900.85,4018.64,14.358108108108112,233.23195498811245,-154.940082572763,-105.27079574752594,-49.669286825237066
2018-08-09,3167,3852.35,3987.38,13.34379905808477,270.0031076875043,-188.2039304919117,-121.85742269640309,-66.34650779550861
2018-08-10,3277,3818.25,3958.8,20.83333333333333,292.6644463560785,-203.34564689019817,-138.15506753516212,-65.19057935503605
2018-08-11,3033,3767.15,3926.88,13.54923992068737,331.61580214138655,-232.3558731636108,-156.99522866085186,-75.36064450275893
2018-08-12,2895,3710.35,3902.62,12.553582363747694,375.4139493057274,-263.44529975202704,-178.28524287908692,-85.16005687294012
2018-08-13,2905,3657.2,3876.96,12.926829268292678,411.54978190796726,-284.0031661702783,-199.4288275373252,-84.5743386329531
2018-08-14,2599,3576.65,3848.18,11.54684095860567,465.9733108631555,-321.283509760985,-223.79976398205716,-97.48374577892784
2018-08-15,2541,3498.65,3817.8,12.604042806183116,513.9442129482319,-351.45718625215386,-249.33124843607652,-102.12593781607734
2018-08-16,2590,3425.1,3793.14,16.25155666251557,543.4093734252524,-367.18348907284553,-272.90169656343033,-94.2817925094152
2018-08-17,2633,3349.95,3767.24,18.673218673218685,555.6152062995149,-371.8900398403639,-292.6993652188171,-79.1906746215468
2018-08-18,2883,3288.2,3748.86,26.89122032026505,557.4859412690436,-351.39642531531035,-304.4387772381158,-46.95764807719456
2018-08-19,2685,3216.4,3725.18,25.417536534446768,567.8203293619989,-347.1305287465034,-312.97712753979334,-34.15340120671004
2018-08-20,2742,3152.95,3699.6,26.642710472279262,577.5044698040572,-335.2853900815244,-317.43878004813956,-17.84661003338482
2018-08-21,2480,3087.0,3669.0,23.851102941176478,593.1497882190926,-343.08437955960017,-322.5678999504317,-20.51647960916847
2018-08-22,2550,3030.8,3635.34,29.538615847542616,601.2465642600122,-339.7008598679545,-325.9944919339363,-13.706367934018203
2018-08-23,2440,2970.15,3602.92,30.91863517060368,612.6219334412693,-341.95364803127586,-329.18632315340426,-12.767324877871602
2018-08-24,2522,2910.25,3572.02,29.88811933937133,604.5336275977847,-333.28043479135613,-330.00514548099466,-3.2752893103614724
